canonical_name,appid,cohort,source,source_rank,release_date,item_type
潜行者2：切尔诺贝利之心,1643320,popular,steam_most_played,72,,game
暗区突围：无限,2073620,popular,steam_most_played,73,,game
命运2,1085660,popular,steam_most_played,75,,game
Bongo Cat,3419430,popular,steam_most_played,76,,game
Big Walk,1478500,popular,steam_most_played,77,,game
足球经理26,3551340,popular,steam_most_played,78,,game
边缘世界 RimWorld,294100,popular,steam_most_played,79,,game
神力科莎 Assetto Corsa,244210,popular,steam_most_played,80,,game
Crusader Kings III,1158310,popular,steam_most_played,81,,game
Age of Empires II: Definitive Edition,813780,popular,steam_most_played,82,,game
Aimlabs,714010,popular,steam_most_played,83,,game
THE FINALS,2073850,popular,steam_most_played,84,,game
Bloons TD 6,960090,popular,steam_most_played,85,,game
Path of Exile,238960,popular,steam_most_played,86,,game
艾尔登法环 黑夜君临,2622380,popular,steam_most_played,87,,game
Phasmophobia 恐鬼症,739630,popular,steam_most_played,88,,game
Escape from Tarkov,3932890,popular,steam_most_played,89,,game
Fields of Mistria,2142790,popular,steam_most_played,90,,game
猎杀：对决 1896,594650,popular,steam_most_played,91,,game
幽灵行动：荒野,460930,popular,steam_most_played,92,,game
巫师 3：狂猎,292030,popular,steam_most_played,93,,game
Ready or Not,1144200,popular,steam_most_played,94,,game
Monster Hunter Wilds,2246340,popular,steam_most_played,95,,game
绝区零,4162040,popular,steam_most_played,96,,game
Valheim: 英灵神殿,892970,popular,steam_most_played,97,,game
"Warhammer 40,000: 星际战士2",2183900,popular,steam_most_played,99,,game
使命召唤®：现代战争® 4,4435490,popular,steam_top_sellers_fill,1,2026 年 10 月 22 日,game
WARDOGS,1867240,popular,steam_top_sellers_fill,2,2026 年 9 月 10 日,game
No More Room in Hell 2,292000,popular,steam_top_sellers_fill,3,2026 年 8 月 11 日,game
星球大战 零号连队™,2075800,popular,steam_top_sellers_fill,4,2026 年 8 月 27 日,game
人间地狱：越南,3079210,popular,steam_top_sellers_fill,5,2026 年 8 月 13 日,game
Bodycam,2406770,popular,steam_top_sellers_fill,6,2024 年 6 月 7 日,game
EA SPORTS™Madden NFL 27,3940610,popular,steam_top_sellers_fill,7,2026 年 8 月 13 日,game
NBA 2K27,4356430,popular,steam_top_sellers_fill,8,2026 年 9 月 3 日,game
西西弗斯放置（Sisyphus Idle）,5048740,latest,steam_latest_releases,1,2026 年 8 月 24 日,game
莫待无花空折枝：做题家的 Git 重启日志,4972160,latest,steam_latest_releases,2,2026 年 8 月 24 日,game
卡拉马佐夫兄弟,4955990,latest,steam_latest_releases,3,2026 年 8 月 23 日,game
哈迪和莫莉,4859490,latest,steam_latest_releases,4,2026 年 8 月 23 日,game
挂机魔王,4932620,latest,steam_latest_releases,5,2026 年 8 月 23 日,game
小狗不上班,4989590,latest,steam_latest_releases,6,2026 年 8 月 23 日,game
东方桌宠,4653120,latest,steam_latest_releases,7,2026 年 8 月 22 日,game
夯犇绿色传奇,4951370,latest,steam_latest_releases,8,2026 年 8 月 21 日,game
遇见数独,4932400,latest,steam_latest_releases,9,2026 年 8 月 21 日,game
美少女旅馆：可爱即是正义，但正义需要处刑,4632600,latest,steam_latest_releases,10,2026 年 8 月 21 日,game
三国蜀汉传,3669490,latest,steam_latest_releases,11,2026 年 8 月 21 日,game
喵咪争霸,3998900,latest,steam_latest_releases,12,2026 年 8 月 21 日,game
中医模拟练习生,4651150,latest,steam_latest_releases,13,2026 年 8 月 21 日,game
整理工坊 The Sorting Bureau,4120790,latest,steam_latest_releases,14,2026 年 8 月 21 日,game
地牢识谎,2708230,latest,steam_latest_releases,15,2026 年 8 月 21 日,game
喵德行 Meowdness,4822000,latest,steam_latest_releases,16,2026 年 8 月 21 日,game
神探夏洛克：暗夜追踪者,3561740,latest,steam_latest_releases,17,2026 年 8 月 21 日,game
生肖山,2996150,latest,steam_latest_releases,18,2026 年 8 月 21 日,game
醉风酒,3222890,latest,steam_latest_releases,19,2026 年 8 月 21 日,game
一起收拾大商场,4962010,latest,steam_latest_releases,20,2026 年 8 月 21 日,game
秘密告白,4796160,latest,steam_latest_releases,21,2026 年 8 月 21 日,game
1000王子: ChouChou Condo (甜心公寓),4846800,latest,steam_latest_releases,22,2026 年 8 月 21 日,game
Damage象棋,5031550,latest,steam_latest_releases,23,2026 年 8 月 21 日,game
请去Bar，恋爱吧！,4734650,latest,steam_latest_releases,24,2026 年 8 月 21 日,game
食刻,4607480,latest,steam_latest_releases,25,2026 年 8 月 21 日,game
陋室与猫,4834190,latest,steam_latest_releases,26,2026 年 8 月 21 日,game
烽烟四起,4915470,latest,steam_latest_releases,27,2026 年 8 月 21 日,game
赤马,1188380,latest,steam_latest_releases,28,2026 年 8 月 20 日,game
半日酒馆,4853120,latest,steam_latest_releases,29,2026 年 8 月 20 日,game
双球同行,4216750,latest,steam_latest_releases,30,2026 年 8 月 20 日,game
花满楼,3749320,latest,steam_latest_releases,31,2026 年 8 月 20 日,game
猫咪狂想曲,4773980,latest,steam_latest_releases,32,2026 年 8 月 20 日,game
长生仙途,4809400,latest,steam_latest_releases,33,2026 年 8 月 20 日,game
水线之下（Fish Slayer）,4542590,latest,steam_latest_releases,34,2026 年 8 月 20 日,game
魔女工厂,3971650,latest,steam_latest_releases,35,2026 年 8 月 20 日,game
全网有点怪,4243330,latest,steam_latest_releases,36,2026 年 8 月 20 日,game
大侠狂想曲,4125770,latest,steam_latest_releases,37,2026 年 8 月 20 日,game
赫尔墨斯图书馆,3264440,latest,steam_latest_releases,38,2026 年 8 月 20 日,game
帝国：权杖与文明,3486430,latest,steam_latest_releases,39,2026 年 8 月 20 日,game
落命病棟 The Falling Hospital,4998500,latest,steam_latest_releases,40,2026 年 8 月 20 日,game
度假咖啡厅模拟器,3196440,latest,steam_latest_releases,41,2026 年 8 月 20 日,game
弹珠时光,2836460,latest,steam_latest_releases,42,2026 年 8 月 20 日,game
酒后出牌,3345950,latest,steam_latest_releases,43,2026 年 8 月 20 日,game
喂龙高手,3966510,latest,steam_latest_releases,44,2026 年 8 月 20 日,game
节奏汪星,4029740,latest,steam_latest_releases,45,2026 年 8 月 20 日,game
不劳则死,3617300,latest,steam_latest_releases,46,2026 年 8 月 20 日,game
KOTAMON：妹妹麦片盒开出超稀有卡牌，我干脆当垃圾清运工集齐整套藏品怒赚百万美元,4294490,latest,steam_latest_releases,47,2026 年 8 月 20 日,game
两个世界的过客,1091870,latest,steam_latest_releases,48,2026 年 8 月 20 日,game
墨西哥忍者,3764970,latest,steam_latest_releases,49,2026 年 8 月 20 日,game
21点,5019060,latest,steam_latest_releases,50,2026 年 8 月 20 日,game
废土幸存者：爆心英雄,2570580,latest,steam_latest_releases,51,2026 年 8 月 20 日,game
加里波利,3065940,latest,steam_latest_releases,52,2026 年 8 月 20 日,game
宇宙塔防图论,4232270,latest,steam_latest_releases,53,2026 年 8 月 20 日,game
又一个僵尸幸存者,2163330,latest,steam_latest_releases,54,2026 年 8 月 20 日,game
一夜白骰,4772010,latest,steam_latest_releases,55,2026 年 8 月 20 日,game
你的痛柜可以种出女孩吗？,4289150,latest,steam_latest_releases,56,2026 年 8 月 20 日,game
小浪舟,5009320,latest,steam_latest_releases,57,2026 年 8 月 20 日,game
PengPong 弹企鹅,2766910,latest,steam_latest_releases,58,2026 年 8 月 20 日,game
少女死神养成计划,2621930,latest,steam_latest_releases,59,2026 年 8 月 19 日,game
宽恕我（Show me mercy）,4840590,latest,steam_latest_releases,60,2026 年 8 月 19 日,game
绍宋: 还我河山,4292950,latest,steam_latest_releases,61,2026 年 8 月 19 日,game
LABYRINTHOS：深渊的迷宮,3883290,latest,steam_latest_releases,62,2026 年 8 月 19 日,game
幽灵地铁,3826420,latest,steam_latest_releases,63,2026 年 8 月 19 日,game
开源麻将平台,4565740,latest,steam_latest_releases,64,2026 年 8 月 19 日,game
一笔勾销,4960800,latest,steam_latest_releases,65,2026 年 8 月 19 日,game
放置领主：财富之城,4315040,latest,steam_latest_releases,66,2026 年 8 月 19 日,game
天雨粟,5012340,latest,steam_latest_releases,67,2026 年 8 月 19 日,game
纳鲁尔战纪,4929320,latest,steam_latest_releases,68,2026 年 8 月 19 日,game
单休公寓,4862220,latest,steam_latest_releases,69,2026 年 8 月 19 日,game
外星入侵：自走棋,2327640,latest,steam_latest_releases,70,2026 年 8 月 19 日,game
劫后公司,3337140,latest,steam_latest_releases,71,2026 年 8 月 19 日,game
Pokerist 的 Vegas Keno,4355330,latest,steam_latest_releases,72,2026 年 8 月 19 日,game
神临,5013950,latest,steam_latest_releases,73,2026 年 8 月 19 日,game
真理部：虚假记忆,3492150,latest,steam_latest_releases,74,2026 年 8 月 19 日,game
被击垮而堕落的强气人妻,4376090,latest,steam_latest_releases,75,2026 年 8 月 19 日,game
宠物街金鱼姬 Pet Street Story,2876050,latest,steam_latest_releases,76,2026 年 8 月 19 日,game
梦魇牌,3726730,latest,steam_latest_releases,77,2026 年 8 月 19 日,game
小试牛刀,4955550,latest,steam_latest_releases,78,2026 年 8 月 19 日,game
蒸汽世界,1996090,latest,steam_latest_releases,79,2026 年 8 月 18 日,game
守护我的大火箭,4532550,latest,steam_latest_releases,80,2026 年 8 月 18 日,game
南派盗墓传奇,4911220,latest,steam_latest_releases,81,2026 年 8 月 18 日,game
噜噜爪爪,4976750,latest,steam_latest_releases,82,2026 年 8 月 18 日,game
最后的海盗：无人生还,4317790,latest,steam_latest_releases,83,2026 年 8 月 18 日,game
渡资：摆渡人的账本,4990390,latest,steam_latest_releases,84,2026 年 8 月 18 日,game
堆叠妖怪,3729550,latest,steam_latest_releases,85,2026 年 8 月 18 日,game
迷雾岛屿求生,3593740,latest,steam_latest_releases,86,2026 年 8 月 18 日,game
The Collection藏品,4794880,latest,steam_latest_releases,87,2026 年 8 月 18 日,game
星砂岛,2966320,latest,steam_latest_releases,88,2026 年 8 月 18 日,game
井域：喀洛之血,2648900,latest,steam_latest_releases,89,2026 年 8 月 17 日,game
光与影之恋 Chiaroscuro Lovers,4412960,latest,steam_latest_releases,90,2026 年 8 月 17 日,game
修仙·卦象录,4940470,latest,steam_latest_releases,91,2026 年 8 月 17 日,game
急速坠落,4898710,latest,steam_latest_releases,92,2026 年 8 月 17 日,game
元素奇兵：英雄集结令,2598990,latest,steam_latest_releases,93,2026 年 8 月 17 日,game
尘崩,5018940,latest,steam_latest_releases,94,2026 年 8 月 17 日,game
万界牌：轮回湮灭,5022780,latest,steam_latest_releases,95,2026 年 8 月 17 日,game
咕噜咕噜,4956830,latest,steam_latest_releases,96,2026 年 8 月 17 日,game
无限数字工厂,4955650,latest,steam_latest_releases,97,2026 年 8 月 17 日,game
蟹运轮回-破碎的世界,2401490,latest,steam_latest_releases,98,2026 年 8 月 17 日,game
图科尼：森林看护者,2933200,latest,steam_latest_releases,99,2026 年 8 月 17 日,game
中世纪马贩子模拟器,3503710,latest,steam_latest_releases,100,2026 年 8 月 17 日,game
幻想序章: Genesis,4939630,latest,steam_latest_releases,101,2026 年 8 月 17 日,game
放血医师,3493400,latest,steam_latest_releases,102,2026 年 8 月 17 日,game
兽的国：猫,4915190,latest,steam_latest_releases,103,2026 年 8 月 17 日,game
东方,4576040,latest,steam_latest_releases,104,2026 年 8 月 16 日,game
演义三国,4382980,latest,steam_latest_releases,105,2026 年 8 月 16 日,game
末日战姬：废土觉醒,4977680,latest,steam_latest_releases,106,2026 年 8 月 16 日,game
御魂传说,4851970,latest,steam_latest_releases,107,2026 年 8 月 16 日,game
那是人类器官吗？,5014260,latest,steam_latest_releases,108,2026 年 8 月 16 日,game
蒸汽战士,2698100,latest,steam_latest_releases,109,2026 年 8 月 16 日,game
麻将百科,4855430,latest,steam_latest_releases,110,2026 年 8 月 16 日,game
心动发条,3756930,latest,steam_latest_releases,111,2026 年 8 月 16 日,game
迹 RELIC,4764530,latest,steam_latest_releases,112,2026 年 8 月 16 日,game
世纪末苏醒,4659330,latest,steam_latest_releases,113,2026 年 8 月 15 日,game
键盘侠：键入即毁灭,4595820,latest,steam_latest_releases,114,2026 年 8 月 15 日,game
猎梦保卫战,4737040,latest,steam_latest_releases,115,2026 年 8 月 15 日,game
鲜花与众神,3816000,latest,steam_latest_releases,116,2026 年 8 月 14 日,game
超级节奏健身,4279200,latest,steam_latest_releases,117,2026 年 8 月 14 日,game
浩游超超超变,4919260,latest,steam_latest_releases,118,2026 年 8 月 14 日,game
妹妹、他人、妄想症,4240150,latest,steam_latest_releases,119,2026 年 8 月 14 日,game
Cosmo in Tarot: Tarot Study Simulator塔罗宇宙自学模拟器,4958720,latest,steam_latest_releases,120,2026 年 8 月 14 日,game
王国契约：放置守护之塔,4467960,latest,steam_latest_releases,121,2026 年 8 月 14 日,game
防御遗产,3135200,latest,steam_latest_releases,122,2026 年 8 月 14 日,game
静默恐惧：阿瑞斯深渊劫,4042160,latest,steam_latest_releases,123,2026 年 8 月 14 日,game
故事引擎：随心所叙,4763330,latest,steam_latest_releases,124,2026 年 8 月 14 日,game
天宫乱斗,4920140,latest,steam_latest_releases,125,2026 年 8 月 14 日,game
电子烟店：迈阿密,3281790,latest,steam_latest_releases,126,2026 年 8 月 14 日,game
回弹深渊,3084370,latest,steam_latest_releases,127,2026 年 8 月 14 日,game
我有一堆录像带,4934370,latest,steam_latest_releases,128,2026 年 8 月 14 日,game
前哨站4,4271680,latest,steam_latest_releases,129,2026 年 8 月 14 日,game
破晓之墟,4364910,latest,steam_latest_releases,130,2026 年 8 月 14 日,game
战傀志,2458370,latest,steam_latest_releases,131,2026 年 8 月 14 日,game
掠宝旅团,3091140,latest,steam_latest_releases,132,2026 年 8 月 14 日,game
小小吸血姬,4838470,latest,steam_latest_releases,133,2026 年 8 月 14 日,game
缴费与香烟,4255120,latest,steam_latest_releases,134,2026 年 8 月 14 日,game
勇者和他的朋友,4910300,latest,steam_latest_releases,135,2026 年 8 月 14 日,game
Pokerist 推出的电动扑克,4355310,latest,steam_latest_releases,136,2026 年 8 月 14 日,game
像素机场大亨 3D,5016220,latest,steam_latest_releases,137,2026 年 8 月 14 日,game
神魔孵化,4998370,latest,steam_latest_releases,138,2026 年 8 月 14 日,game
苦涩情人节,3999750,latest,steam_latest_releases,139,2026 年 8 月 14 日,game
乱世江山,4729340,latest,steam_latest_releases,140,2026 年 8 月 14 日,game
国潮烤冷面传奇,3584920,latest,steam_latest_releases,141,2026 年 8 月 14 日,game
Kiss And Cry：我的女友脑子有问题,4054420,latest,steam_latest_releases,142,2026 年 8 月 13 日,game
慈爱疗愈～用催眠疗法治愈社畜宝宝的心吧～,4182640,latest,steam_latest_releases,143,2026 年 8 月 13 日,game
梦之岛仲夏夜,4129770,latest,steam_latest_releases,144,2026 年 8 月 13 日,game
一把菜刀打天下,4501680,latest,steam_latest_releases,145,2026 年 8 月 13 日,game
生死狙击：无限,4141900,latest,steam_latest_releases,146,2026 年 8 月 13 日,game
恶校游戏,3818020,latest,steam_latest_releases,147,2026 年 8 月 13 日,game
柏拉图深空,3846480,latest,steam_latest_releases,148,2026 年 8 月 13 日,game
沉没要塞的守夜人,4971240,latest,steam_latest_releases,149,2026 年 8 月 13 日,game
不心动才有鬼,4855450,latest,steam_latest_releases,150,2026 年 8 月 13 日,game
田游族谱,4885890,latest,steam_latest_releases,151,2026 年 8 月 13 日,game
Snowed Under | 雪葬,4938200,latest,steam_latest_releases,152,2026 年 8 月 13 日,game
遥远行星：建造师,3105960,latest,steam_latest_releases,153,2026 年 8 月 13 日,game
自拍虫虫,4333980,latest,steam_latest_releases,154,2026 年 8 月 13 日,game
颜色方块逃脱,4904840,latest,steam_latest_releases,155,2026 年 8 月 13 日,game
魔剑王牌,4186640,latest,steam_latest_releases,156,2026 年 8 月 13 日,game
混元灵印,3743730,latest,steam_latest_releases,157,2026 年 8 月 13 日,game
王国大战僵尸,4799450,latest,steam_latest_releases,158,2026 年 8 月 13 日,game
黑心装修队,3167920,latest,steam_latest_releases,159,2026 年 8 月 13 日,game
沙金工业 Sandustry,2764460,latest,steam_latest_releases,160,2026 年 8 月 13 日,game
怪物浪潮,4948670,latest,steam_latest_releases,161,2026 年 8 月 13 日,game
绯红誓约-Crimson Covenant,3431400,latest,steam_latest_releases,162,2026 年 8 月 13 日,game
荒古遗迹,4401140,latest,steam_latest_releases,163,2026 年 8 月 13 日,game
沙威猫传奇：黑帮预制菜,3960830,latest,steam_latest_releases,164,2026 年 8 月 13 日,game
急诊室模拟器,2438110,latest,steam_latest_releases,165,2026 年 8 月 13 日,game
沙雕足球小游戏：盘带大师,4929930,latest,steam_latest_releases,166,2026 年 8 月 13 日,game
放开那个喉结罩,4995920,latest,steam_latest_releases,167,2026 年 8 月 13 日,game
红或黑：扑克杀,4416760,latest,steam_latest_releases,168,2026 年 8 月 13 日,game
纵横麻将 Matrix Mahjong,3967760,latest,steam_latest_releases,169,2026 年 8 月 13 日,game
女魔王大人假扮勇者,4986930,latest,steam_latest_releases,170,2026 年 8 月 13 日,game
密林,4843300,latest,steam_latest_releases,171,2026 年 8 月 13 日,game
IGS经典街机合集,3417140,latest,steam_latest_releases,172,2026 年 8 月 12 日,game
放置王国：魔与兽的远征,4517960,latest,steam_latest_releases,173,2026 年 8 月 12 日,game
无言战斗,4000170,latest,steam_latest_releases,174,2026 年 8 月 12 日,game
Dinotica 恐龙小当家,3336520,latest,steam_latest_releases,175,2026 年 8 月 12 日,game
芯链战线,3180830,latest,steam_latest_releases,176,2026 年 8 月 12 日,game
放置之路：古神复苏,4243990,latest,steam_latest_releases,177,2026 年 8 月 12 日,game
阴三国谋论: 徐州篇,3155310,latest,steam_latest_releases,178,2026 年 8 月 12 日,game
今天开始做魅魔,3397100,latest,steam_latest_releases,179,2026 年 8 月 12 日,game
AI2U: 与你直到世界尽头 ~ 我的病娇猫娘AI女友,2880730,latest,steam_latest_releases,180,2026 年 8 月 12 日,game
冻土无声,4825420,latest,steam_latest_releases,181,2026 年 8 月 12 日,game
不义转生,4216180,latest,steam_latest_releases,182,2026 年 8 月 12 日,game
碎裂围城：破坏球防御战,4664900,latest,steam_latest_releases,183,2026 年 8 月 12 日,game
挂机英雄传,4944020,latest,steam_latest_releases,184,2026 年 8 月 12 日,game
彼岸的棕榈糖：只是一个印度故事,2778220,latest,steam_latest_releases,185,2026 年 8 月 12 日,game
硬汉猫猫,4911030,latest,steam_latest_releases,186,2026 年 8 月 12 日,game
51区安检站,4246860,latest,steam_latest_releases,187,2026 年 8 月 12 日,game
生存日志,4164790,latest,steam_latest_releases,188,2026 年 8 月 12 日,game
智探,4838780,latest,steam_latest_releases,189,2026 年 8 月 12 日,game
山海镇妖·阴阳录,4986290,latest,steam_latest_releases,190,2026 年 8 月 12 日,game
疯狂！迪尔与芒克的大冒险,4915120,latest,steam_latest_releases,191,2026 年 8 月 12 日,game
我的傲娇妹妹 MY TSUNDERE SISTER,4622110,latest,steam_latest_releases,192,2026 年 8 月 11 日,game
世界杯 无名小国的夺冠之路,4906860,latest,steam_latest_releases,193,2026 年 8 月 11 日,game
三國鼎立Online Remastered,4770830,latest,steam_latest_releases,194,2026 年 8 月 11 日,game
水下双雄,3736310,latest,steam_latest_releases,195,2026 年 8 月 11 日,game
烽沙,1733690,latest,steam_latest_releases,196,2026 年 8 月 11 日,game
鬼子母,4018740,latest,steam_latest_releases,197,2026 年 8 月 11 日,game
肉鸽砖块,5000470,latest,steam_latest_releases,198,2026 年 8 月 11 日,game
蛋蛋博弈论,4967180,latest,steam_latest_releases,199,2026 年 8 月 11 日,game
[HERROR] 加油站案件,3902800,latest,steam_latest_releases,200,2026 年 8 月 11 日,game
Sword & Shield Simulator (剑盾模拟器),2052650,latest,steam_latest_releases,201,2026 年 8 月 11 日,game
臀臀有礼,4729260,latest,steam_latest_releases,202,2026 年 8 月 11 日,game
帝国豪赌：奥古斯都的破碎王冠,4548050,latest,steam_latest_releases,203,2026 年 8 月 11 日,game
秘境猎人,2282790,latest,steam_latest_releases,204,2026 年 8 月 11 日,game
磐石守卫,4502710,latest,steam_latest_releases,205,2026 年 8 月 11 日,game
秘奥回响,974480,latest,steam_latest_releases,206,2026 年 8 月 11 日,game
群侠传：幸存者,4957110,latest,steam_latest_releases,207,2026 年 8 月 11 日,game
盲行者 VR,4507690,latest,steam_latest_releases,208,2026 年 8 月 11 日,game
符岩斗魂,3855600,latest,steam_latest_releases,209,2026 年 8 月 11 日,game
像素单词农场,4986120,latest,steam_latest_releases,210,2026 年 8 月 11 日,game
魔塔国度 -Tower Realm-,4550370,latest,steam_latest_releases,211,2026 年 8 月 11 日,game
哪里漏电？,4972200,latest,steam_latest_releases,212,2026 年 8 月 11 日,game
虚乐色,4895540,latest,steam_latest_releases,213,2026 年 8 月 11 日,game
神姬传说:卡利亚,4710360,latest,steam_latest_releases,214,2026 年 8 月 11 日,game
方块骑士Square Knight,4934080,latest,steam_latest_releases,215,2026 年 8 月 10 日,game
多肉小憩,4536070,latest,steam_latest_releases,216,2026 年 8 月 10 日,game
梦境回响,3226060,latest,steam_latest_releases,217,2026 年 8 月 10 日,game
Wicked Little Witch 小小坏女巫,3809920,latest,steam_latest_releases,218,2026 年 8 月 10 日,game
瓶裂,3982830,latest,steam_latest_releases,219,2026 年 8 月 10 日,game
断神,3755930,latest,steam_latest_releases,220,2026 年 8 月 10 日,game
仓鼠滚滚乐,4195910,latest,steam_latest_releases,221,2026 年 8 月 10 日,game
River Devil/河牌恶魔,4942900,latest,steam_latest_releases,222,2026 年 8 月 10 日,game
暗星铁律,1067360,latest,steam_latest_releases,223,2026 年 8 月 10 日,game
我是洞洞王 Hole is Mine,4508020,latest,steam_latest_releases,224,2026 年 8 月 10 日,game
霓虹弹珠,4812710,latest,steam_latest_releases,225,2026 年 8 月 10 日,game
人类停车模拟器,758430,latest,steam_latest_releases,226,2026 年 8 月 10 日,game
家族与帝国,4142610,latest,steam_latest_releases,227,2026 年 8 月 9 日,game
功夫牌,3340780,latest,steam_latest_releases,228,2026 年 8 月 9 日,game
武士打鬼,3791630,latest,steam_latest_releases,229,2026 年 8 月 9 日,game
西班牙风味,4596230,latest,steam_latest_releases,230,2026 年 8 月 9 日,game
掌舵人 BIZ Helmsman,4261850,latest,steam_latest_releases,231,2026 年 8 月 8 日,game
天亮之后,4838500,latest,steam_latest_releases,232,2026 年 8 月 7 日,game
爱丽丝与恶魔的牢狱,4145350,latest,steam_latest_releases,233,2026 年 8 月 7 日,game
戳戳莉莉姆,4071500,latest,steam_latest_releases,234,2026 年 8 月 7 日,game
风信来客,4947380,latest,steam_latest_releases,235,2026 年 8 月 7 日,game
末世：我有一辆房车,4663300,latest,steam_latest_releases,236,2026 年 8 月 7 日,game
疯狂派对,4706880,latest,steam_latest_releases,237,2026 年 8 月 7 日,game
成语消消乐,4982020,latest,steam_latest_releases,238,2026 年 8 月 7 日,game
专注魔法屋,4202710,latest,steam_latest_releases,239,2026 年 8 月 7 日,game
琉光猫影,4669380,latest,steam_latest_releases,240,2026 年 8 月 7 日,game
难道你是GAL高手,4513880,latest,steam_latest_releases,241,2026 年 8 月 7 日,game
躲猫猫音乐盒,3434720,latest,steam_latest_releases,242,2026 年 8 月 7 日,game
ACRODRIFT: FPV无人机模拟器,3698490,latest,steam_latest_releases,243,2026 年 8 月 7 日,game
玩具店大整理！,4914830,latest,steam_latest_releases,244,2026 年 8 月 7 日,game
灵魂•绝境防线,3607810,latest,steam_latest_releases,245,2026 年 8 月 7 日,game
未了情书,4943130,latest,steam_latest_releases,246,2026 年 8 月 7 日,game
中国式地雷女,3782080,latest,steam_latest_releases,247,2026 年 8 月 7 日,game
奉魔,4172180,latest,steam_latest_releases,248,2026 年 8 月 7 日,game
H·P超自然事件档案,3139670,latest,steam_latest_releases,249,2026 年 8 月 6 日,game
日本事故物件監視協会3 -Japan Stigmatized Property-,4611990,latest,steam_latest_releases,250,2026 年 8 月 6 日,game
三国群英传之英雄传奇,4897880,latest,steam_latest_releases,251,2026 年 8 月 6 日,game
奥利珀斯的禁书,4466090,latest,steam_latest_releases,252,2026 年 8 月 6 日,game
